Time,Acceleration X,Acceleration Y,Acceleration Z,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Yaw,Pitch,Roll,'16-Nov-2018 17:36:47.445'
0,9.759,1.1194,0.34099,0.015034,0.015858,0.0044762,177.99,5.9406,87.908,
0.099,9.7967,1.1153,0.30462,0.021444,0.021895,0.031222,177.99,6.0377,87.903,
0.198,9.7349,1.0625,0.30596,0.018197,0.019464,0.056776,177.98,6.0325,87.917,
0.296,9.773,1.0873,0.32587,-1.46E-05,0.014876,0.088593,178,5.8258,87.926,
0.395,9.816,0.9881,0.34369,-0.0011779,0.01394,0.16536,177.92,5.5102,87.922,
0.494,9.7602,0.93017,0.39682,0.036081,0.013839,0.25098,177.82,5.0491,87.923,
0.593,9.8104,0.71776,0.37826,0.008263,0.014288,0.30834,177.8,4.1279,87.885,
0.692,9.8281,0.26764,0.3624,-0.014197,0.014929,0.34868,177.79,2.7419,87.872,
0.791,9.7703,0.20058,0.45924,-0.0068275,0.019905,0.46181,177.63,1.04,87.88,
0.889,9.9094,-0.15343,0.3121,-0.028355,0.017214,0.60025,177.43,-0.79013,87.861,
0.988,9.8149,-0.70309,0.37347,-0.026364,0.019805,0.73571,177.17,-3.2263,87.87,
1.087,9.5903,-1.4325,0.40566,-0.00092758,0.018946,0.88628,176.81,-6.4928,87.826,
1.186,9.4501,-2.1025,0.34758,0.0042296,0.012161,1.0047,176.45,-10.525,87.761,
1.285,9.2764,-3.2479,0.38874,0.013844,0.031235,1.0955,176.16,-15.305,87.68,
1.384,8.7117,-4.0239,0.52735,0.039252,0.018078,1.2076,175.85,-20.69,87.568,
1.482,8.3453,-5.3107,0.25881,-0.030955,0.064728,1.2393,175.56,-26.536,87.503,
1.581,7.6814,-6.1045,0.31584,-0.072317,0.13557,1.3737,175.37,-32.917,87.445,
1.68,7.3428,-6.8751,0.59292,-0.026629,0.15739,1.6653,174.74,-39.534,87.27,
1.779,6.1386,-7.4021,0.12619,0.0098801,0.10088,2.1004,173.58,-46.77,87.03,
1.878,4.834,-8.7059,0.32258,0.080723,0.066012,2.4964,172.37,-55.447,86.768,
1.977,2.494,-10.087,0.33875,0.069836,0.060963,2.6509,170.95,-66.076,86.139,
2.075,-0.99932,-9.6013,0.17828,0.090469,0.1084,2.5949,168.17,-78.827,83.789,
2.174,-3.2003,-9.1542,0.3871,0.077802,-0.0027566,2.8128,10.966,-86.904,-73.08,
2.273,-5.3208,-7.8108,0.50325,0.057723,-0.12032,2.9474,-3.8997,-72.974,-87.129,
2.372,-7.781,-5.44,-0.35581,0.084902,-0.067511,2.7986,-5.9368,-58.396,-88.721,
2.471,-8.9825,-2.3137,-0.41149,0.12484,-0.052295,2.5015,-6.6291,-42.908,-89.579,
2.57,-9.8173,0.16331,0.0014969,0.021156,-0.089413,2.4311,-6.9571,-27.378,-90.362,
2.668,-9.6865,1.8723,-0.19265,0.037283,-0.069302,2.4356,-7.2603,-12.846,-90.897,
2.767,-8.9093,3.6793,-0.28156,-0.014001,-0.040579,2.623,-7.7087,0.098637,-91.289,
2.866,-8.361,5.7865,-0.25357,-0.030968,0.0066299,2.7693,-7.5582,13.041,-91.836,
2.965,-6.5281,6.8517,-0.42497,0.051016,0.062421,3.232,-7.2318,26.12,-92.332,
3.064,-4.8821,8.9183,-0.89993,0.14089,0.011687,3.7027,-6.1617,40.101,-93.18,
3.163,-0.46658,9.0063,0.0041913,0.24963,-0.00095687,3.7516,-4.2141,55.284,-94.647,
3.261,3.5966,9.5166,0.046553,-0.0091053,-0.079418,3.7085,0.35621,72.739,-98.627,
3.36,6.6688,7.6554,-0.24609,0.01216,-0.066276,3.8463,135.49,86.656,126.39,
3.459,7.7191,4.834,-0.058229,-0.021897,-0.039155,3.8995,170.17,66.602,91.822,
3.558,10.422,0.7209,0.1904,-0.078819,0.036146,3.6733,171.42,46.688,90.268,
3.657,10.029,-3.3234,0.35686,-0.13642,0.15434,3.3333,171.41,26.203,89.766,
3.756,7.8272,-6.0106,0.29623,0.075499,0.093725,3.4499,171.21,5.1954,89.52,
3.854,6.2738,-9.1776,-0.020507,0.11739,-0.028406,3.5072,170.6,-14.941,89.44,
3.953,4.1962,-8.5682,0.29504,0.0033713,-0.11075,3.831,169.63,-33.547,89.471,
4.052,0.49876,-9.426,-0.67839,-0.15604,0.036827,3.9852,169.42,-51.76,89.729,
4.151,-4.6627,-7.6895,-0.64456,-0.09181,-0.25688,4.1451,170.15,-70.182,90.57,
4.25,-7.3103,-6.9369,0.00059875,0.072364,-0.12179,4.1067,-93.121,-89.675,-173.52,
4.349,-8.6553,-2.8537,-0.54068,0.13556,-0.0718,4.1789,-9.058,-68.461,-90.213,
4.447,-9.4078,1.4276,-0.64905,0.11745,-0.093386,4.0347,-8.2764,-46.943,-90.307,
4.546,-7.6724,5.3496,-0.0038919,0.15807,-0.14297,3.7287,-7.6887,-24.638,-91.124,
4.645,-4.489,7.872,-0.050146,0.21089,-0.27578,3.5258,-7.3496,-2.3183,-91.603,
4.744,-1.5354,9.0818,-0.6242,0.22306,0.0021841,3.6756,-7.0661,19.963,-92.16,
4.843,1.3433,8.8635,-0.42407,0.24485,0.10466,3.8171,-6.5069,41.59,-93.096,
4.942,3.0821,8.8828,-0.15104,0.2068,0.058875,4.177,-5.3559,61.708,-94.95,
5.04,7.2168,6.7767,-0.34743,0.1797,-0.0081708,4.185,2.075,81.188,-103.03,
5.139,7.6132,3.1914,-0.042811,0.14958,-0.041356,4.2091,163.12,78.829,96.158,
5.238,9.5067,-1.3876,0.0088316,-0.02966,-0.018954,4.2504,169.95,58.14,90.189,
5.337,8.849,-4.3269,0.37377,0.0049535,0.046488,4.1977,171.55,35.507,89.05,
5.436,5.3,-6.477,0.089214,0.0094116,0.055331,4.0826,171.84,12.906,88.596,
5.535,2.2293,-9.6542,0.52167,0.049132,0.067434,3.9529,172,-9.9948,88.346,
5.633,-1.2105,-9.5433,0.59172,-0.064338,-0.01249,3.8182,171.21,-32.826,87.81,
5.732,-5.1608,-8.5525,0.57421,0.15645,-0.052841,3.7548,169.3,-55.582,86.428,
5.831,-7.7772,-5.4428,0.46927,0.20631,-0.11309,3.709,162.17,-78.245,79.915,
5.93,-8.8695,-1.9781,0.14774,0.17646,-0.10266,3.7344,2.6174,-79.812,-79.01,
6.029,-8.673,0.8634,0.10643,0.12523,-0.087439,3.8076,-5.2245,-58.999,-86.572,
6.128,-7.9736,4.2703,-0.21465,0.1019,-0.10283,3.593,-7.5629,-38.383,-88.673,
6.226,-5.7178,7.9567,-0.13068,0.085993,-0.11178,3.4595,-8.7682,-17.246,-89.526,
6.325,-2.479,9.1366,0.0040416,0.15761,-0.15311,3.1666,-9.5764,2.7395,-90.21,
6.424,0.16765,10.507,0.13203,0.1646,-0.28497,2.8972,-9.9031,23.112,-90.736,
6.523,3.5144,9.2985,0.071102,-0.21701,-0.43238,2.6075,-10.085,43.906,-91.178,
6.622,6.0754,8.4231,0.70923,-0.44067,-0.40171,2.3328,-10.065,62.878,-91.796,
6.721,7.5012,6.3893,0.85308,-0.64399,-0.34055,2.1694,-9.1752,81.184,-93.515,
6.82,8.7836,4.8318,0.74231,-0.81947,-0.27169,1.9785,168.13,81.792,88.036,
6.918,9.3349,3.1131,0.61118,-0.86618,-0.080288,1.8266,166.62,66.417,87.551,
7.017,9.5937,1.374,1.0662,-0.77863,0.073322,1.6853,162.85,52.62,88.253,
7.116,9.8654,-0.46314,0.91924,-0.76823,0.16917,1.5014,158.79,40.166,89.02,
7.215,9.3301,-1.8536,0.89125,-0.96867,0.33166,1.2309,154.25,28.688,89.65,
7.314,9.1488,-3.606,0.38635,-0.95378,0.48275,1.1401,149.31,18.072,90.056,
7.413,8.6447,-3.8463,0.65294,-0.90081,0.62336,1.2874,144.54,8.3171,90.546,
7.511,8.7724,-4.351,1.0212,-0.74806,0.67899,1.4841,140.32,-0.78175,91.053,
7.61,8.2169,-5.256,0.95187,-0.58251,0.73657,1.6927,136.25,-9.024,91.507,
7.709,7.3761,-6.6248,0.8426,-0.46912,0.79064,1.7664,131.32,-15.941,91.94,
7.808,6.2285,-7.8384,0.8393,-0.25744,0.68869,1.87,126.06,-22.279,92.533,
7.907,4.5264,-8.3366,0.9836,-0.094527,0.60716,1.7952,120.83,-29.165,93.317,
8.006,2.4512,-9.2358,1.1055,0.074907,0.42116,1.996,116.09,-37.052,94.318,
8.104,1.6713,-9.1331,1.4655,0.13073,0.31248,2.0802,112.62,-46.094,95.697,
8.203,-0.64246,-9.9425,0.52511,0.14893,0.19241,2.3228,109.67,-55.596,97.496,
8.302,-2.1612,-9.4281,0.54307,0.035804,0.091327,2.6999,109.21,-65.61,100.98,
8.401,-3.7799,-8.7209,0.57525,0.1575,-0.0065005,3.0981,114.33,-75.351,109.24,
8.5,-6.0271,-7.3648,0.24055,0.084461,-0.072829,3.1462,148.08,-83.805,145.16,
8.599,-8.2821,-3.893,0.43739,0.17515,-0.077562,3.1619,-124.82,-80.896,-126.32,
8.697,-9.7932,-1.356,0.0065863,0.13445,-0.080746,3.2586,-106.28,-70.185,-106.91,
8.796,-9.2865,1.2611,0.20567,0.10902,-0.056773,3.219,-100.52,-57.337,-101.02,
8.895,-8.4004,4.8483,0.067809,0.11435,-0.096947,3.0226,-97.368,-42.4,-98.388,
8.994,-6.0766,7.8462,0.037572,0.1186,-0.13018,2.8678,-95.601,-25.877,-97.51,
9.093,-3.8498,9.5187,0.053289,0.11025,-0.11633,2.7815,-94.03,-8.7807,-97.195,
9.192,-1.2545,9.8028,0.031135,0.16516,-0.047746,2.7279,-92.691,8.2474,-97.513,
9.29,1.3355,9.748,-0.023801,0.1407,-0.056818,2.6061,-91.06,25.947,-97.956,
9.389,4.0657,9.2023,0.27228,0.023403,-0.052279,2.5262,-88.572,43.214,-99.835,
9.488,6.4046,7.8,0.50221,0.031229,-0.011777,2.4316,-84.559,59.889,-103.46,
9.587,7.8907,6.1251,0.60968,0.025037,0.0043396,2.3335,-72.458,75.038,-115.45,
9.686,9.0069,4.0723,0.4344,0.049687,-0.0067716,2.1918,7.7849,83.835,164.4,
9.785,9.4389,1.8581,0.46014,0.041392,0.0046584,2.0425,64.621,72.847,107.83,
9.883,9.9874,-0.3371,0.51059,0.023478,0.0059892,1.8515,74.011,59.156,98.829,
9.982,9.7075,-2.3806,0.47736,0.035453,0.0072361,1.6597,77.198,45.58,95.893,
10.081,8.8658,-4.0325,0.44487,0.0037045,0.014023,1.4611,78.854,32.404,94.552,
10.18,8.0952,-5.5997,0.53933,0.016689,0.011696,1.3002,79.998,19.693,93.902,
10.279,7.1575,-6.6531,0.52241,0.025409,0.0084366,1.1296,80.9,7.6368,93.599,
10.378,6.2871,-7.4741,0.48634,0.01602,0.012605,0.9653,81.737,-3.6707,93.509,
10.476,5.3598,-8.1585,0.4567,0.018338,0.0023758,0.75732,82.494,-14.126,93.551,
10.575,4.5839,-8.9063,0.5061,0.0058946,0.024021,0.55685,83.141,-23.6,93.707,
10.674,3.6169,-8.9744,0.50789,0.02621,0.0022717,0.41613,83.787,-32.055,94.013,
10.773,3.4044,-8.9234,0.62764,0.0094747,0.023709,0.23375,84.46,-39.567,94.424,
10.872,2.77,-9.3003,0.41209,0.012814,0.021035,0.10366,85.256,-46.244,94.975,
10.971,2.5935,-9.3181,0.38545,0.020251,0.011657,0.085544,86.164,-52.079,95.645,
11.07,2.7609,-9.2461,0.44622,0.011839,0.025947,0.050361,87.124,-57.014,96.387,
11.168,2.8933,-9.3151,0.48769,0.018202,0.019516,0.052511,87.857,-60.917,97.06,
11.267,2.8257,-9.2436,0.66357,0.037087,-0.022809,0.11535,88.529,-63.833,97.709,
11.366,2.8674,-9.3057,0.46778,0.020099,-0.0098561,0.10462,85.456,-68.725,94.166,
11.465,2.7164,-9.2817,0.35626,0.0067394,0.025291,-0.1555,83.886,-71.062,92.462,
11.564,1.5283,-9.6308,0.075593,-0.0013273,0.055982,-0.40068,78.266,-72.774,86.601,
11.663,2.0394,-9.4858,0.48439,0.01361,0.017827,-0.59058,76.029,-72.957,84.293,
11.761,2.4986,-9.2928,0.72,-0.00094249,0.034721,-0.83695,74.654,-73.358,82.93,
11.86,3.017,-9.2048,0.46523,0.0059458,0.057466,-1.1322,73.86,-73.409,82.12,
11.959,3.3635,-9.0445,0.64291,-0.018321,0.047303,-1.4257,73.263,-73.525,81.4,
12.058,4.5405,-9.0002,0.73826,-0.02766,0.038946,-1.6967,72.813,-74.16,80.71,
12.157,5.5026,-8.2628,0.31195,-0.017773,0.04967,-1.88,72.782,-73.711,80.658,
12.256,6.8369,-6.9683,0.504,-0.018756,0.046501,-1.9685,73.189,-72.266,81.143,
12.354,8.0794,-5.425,0.58304,-0.03041,0.049398,-2.0283,74.277,-69.804,82.217,
12.453,9.0906,-3.7295,0.46808,-0.073014,0.042421,-2.1428,75.39,-66.181,83.233,
12.552,9.7866,-1.7948,0.41224,-0.080619,0.010103,-2.1953,76.451,-61.081,84.289,
12.651,9.9206,-0.072449,0.28351,-0.087928,0.022731,-2.2689,77.406,-54.449,85.257,
12.75,9.6066,2.0983,0.21435,-0.090144,0.00091719,-2.3117,78.05,-46.298,85.923,
12.849,9.0126,4.4955,0.49337,-0.048598,-0.017044,-2.3327,78.567,-36.913,86.4,
12.947,7.9537,6.7375,0.43724,-0.09567,-0.036963,-2.345,79.082,-26.712,86.803,
13.046,6.339,7.7036,0.30013,-0.053929,-0.011968,-2.3114,79.492,-16.086,87.155,
13.145,4.208,8.9813,0.21211,-0.040163,-0.0201,-2.2591,79.76,-5.108,87.386,
13.244,1.8624,9.6362,0.21944,-0.049727,0.0093892,-2.1449,79.789,6.3916,87.481,
